ID,Name,Code
0,Afghanistan,AFG
1,Aland Islands,ALA
2,Albania,ALB
3,Algeria,DZA
4,American Samoa,ASM
5,Andorra,AND
6,Angola,AGO
7,Anguilla,AIA
8, Antarctica,ATA
9,Antigua and Barbuda,ATG
10,Argentina,ARG
11,Armenia,ARM
12,Aruba,ABW
13,Australia,AUS
14,Austria,AUT
15,Azerbaijan,AZE
16,Bahamas,BHS
17,Bahrain,BHR
18,Bangladesh,BGD
19,Barbados,BRB
20,Belarus,BLR
21,Belgium,BEL
22,Belize,BLZ
23,Benin,BEN
24,Bermuda,BMU
25,Bhutan,BTN
26,Bolivia,BOL
27,Bosnia and Herzegovina,BIH
28,Botswana,BWA
29,Bouvet Island,BVT
30,Brazil,BRA
31,British Virgin Islands,VGB
32,British Indian Ocean Territory,IOT
33,Brunei Darussalam,BRN
34,Bulgaria,BGR
35,Burkina Faso,BFA
36,Burundi,BDI
37,Cambodia,KHM
38,Cameroon,CMR
39,Canada,CAN
40,Cape Verde,CPV
41,Cayman Islands,CYM
42,Central African Republic,CAF
43,Chad,TCD
44,Chile,CHL
45,China,CHN
46,"Hong Kong, SAR China","
HKG"
47,"Macao, SAR China",MAC
48,Christmas Island,CXR
49,Cocos (Keeling) Islands,CCK
50,Colombia,COL
51,Comoros,COM
52,Congo (Brazzaville),COG
53,"Congo, (Kinshasa)",COD
54,Cook Islands,COK
55,Costa Rica,CRI
56,Côte d'Ivoire,CIV
57,Croatia,HRV
58,Cuba,CUB
59,Cyprus,CYP
60,Czech Republic,CZE
61,Denmark,DNK
62,Djibouti,DJI
63,Dominica,DMA
64,Dominican Republic,DOM
65,Ecuador,ECU
66,Egypt,EGY
67,El Salvador,SLV
68,Equatorial Guinea,GNQ
69,Eritrea,ERI
70,Estonia,EST
71,Ethiopia,ETH
72,Falkland Islands (Malvinas),FLK
73,Faroe Islands,"
FRO"
74,Fiji,FJI
75,Finland,FIN
76,France,FRA
77,French Guiana,GUF
78,French Polynesia,PYF
79,French Southern Territories,ATF
80,Gabon,GAB
81,Gambia,GMB
82,Georgia,GEO
83,Germany,DEU
84,Ghana,GHA
85,Gibraltar,GIB
86,Greece,GRC
87,Greenland,GRL
88,Grenada,GRD
89,Guadeloupe,GLP
90,Guam,GUM
91,Guatemala,GTM
92,Guernsey,GGY
93,Guinea,GIN
94,Guinea-Bissau,GNB
95,Guyana,GUY
96,Haiti,HTI
97,Heard and Mcdonald Islands,HMD
98,Holy See (Vatican City State),VAT
99,Honduras,HND
100,Hungary,HUN
101,Iceland,ISL
102,India,IND
103,Indonesia,IDN
104,"Iran, Islamic Republic of",IRN
105,Iraq,IRQ
106,Ireland,IRL
107,Isle of Man,IMN
108,Israel,ISR
109,Italy,ITA
110,Jamaica,JAM
111,Japan,JPN
112,Jersey,JEY
113,Jordan,JOR
114,Kazakhstan,KAZ
115,Kenya,KEN
116,Kiribati,KIR
117,Korea (North),PRK
118,Korea (South),KOR
119,Kuwait,KWT
120,Kyrgyzstan,KGZ
121,Lao PDR,LAO
122,Latvia,LVA
123,Lebanon,LBN
124,Lesotho,LSO
125,Liberia,LBR
126,Libya,LBY
127,Liechtenstein,LIE
128,Lithuania,LTU
129,Luxembourg,LUX
130,"Macedonia, Republic of",MKD
131,Madagascar,MDG
132,Malawi,MWI
133,Malaysia,MYS
134,Maldives,MDV
135,Mali,MLI
136,Malta,MLT
137,Marshall Islands,MHL
138,Martinique,MTQ
139,Mauritania,MRT
140,Mauritius,MUS
141,Mayotte,MYT
142,Mexico,MEX
143,"Micronesia, Federated States of",FSM
144,Moldova,MDA
145,Monaco,MCO
146,Mongolia,MNG
147,Montenegro,MNE
148,Montserrat,MSR
149,Morocco,MAR
150,Mozambique,MOZ
151,Myanmar,MMR
152,Namibia,NAM
153,Nauru,NRU
154,Nepal,NPL
155,Netherlands,NLD
156,Netherlands Antilles,ANT
157,New Caledonia,NCL
158,New Zealand,NZL
159,Nicaragua,NIC
160,Niger,NER
161,Nigeria,NGA
162,Niue,NIU
163,Norfolk Island,NFK
164,Northern Mariana Islands,MNP
165,Norway,NOR
166,Oman,OMN
167,Pakistan,PAK
168,Palau,PLW
169,Palestinian Territory,"
PSE"
170,Panama,PAN
171,Papua New Guinea,PNG
172,Paraguay,PRY
173,Peru,PER
174,Philippines,PHL
175,Pitcairn,PCN
176,Poland,POL
177,Portugal,PRT
178,Puerto Rico,PRI
179,Qatar,QAT
180,Réunion,REU
181,Romania,ROU
182,Russian Federation,RUS
183,Rwanda,RWA
184,Saint-Barthélemy,BLM
185,Saint Helena,SHN
186,Saint Kitts and Nevis,KNA
187,Saint Lucia,LCA
188,Saint-Martin (French part),MAF
189,Saint Pierre and Miquelon,SPM
190,Saint Vincent and Grenadines,VCT
191,Samoa,WSM
192,San Marino,SMR
193,Sao Tome and Principe,STP
194,Saudi Arabia,SAU
195,Senegal,SEN
196,Serbia,SRB
197,Seychelles,SYC
198,Sierra Leone,SLE
199,Singapore,SGP
200,Slovakia,SVK
201,Slovenia,SVN
202,Solomon Islands,SLB
203,Somalia,SOM
204,South Africa,ZAF
205,South Georgia and the South Sandwich Islands,SGS
206,South Sudan,SSD
207,Spain,ESP
208,Sri Lanka,LKA
209,Sudan,SDN
210,Suriname,SUR
211,Svalbard and Jan Mayen Islands,SJM
212,Swaziland,SWZ
213,Sweden,SWE
214,Switzerland,CHE
215,Syrian Arab Republic (Syria),SYR
216,"Taiwan, Republic of China ",TWN
217,Tajikistan,TJK
218,"Tanzania, United Republic of ",TZA
219,Thailand,THA
220,Timor-Leste,TLS
221,Togo,TGO
222,Tokelau,TKL
223,Tonga,TON
224,Trinidad and Tobago,TTO
225,Tunisia,TUN
226,Turkey,TUR
227,Turkmenistan,TKM
228,Turks and Caicos Islands,TCA
229,Tuvalu,TUV
230,Uganda,UGA
231,Ukraine,UKR
232,United Arab Emirates,ARE
233,United Kingdom,GBR
234,United States of America,USA
235,US Minor Outlying Islands,UMI
236,Uruguay,URY
237,Uzbekistan,UZB
238,Vanuatu,VUT
239,Venezuela (Bolivarian Republic),VEN
240,Viet Nam,VNM
241,"Virgin Islands, US",VIR
242,Wallis and Futuna Islands,WLF
243,Western Sahara,ESH
244,Yemen,YEM
245,Zambia,ZMB
246,Zimbabwe,ZWE